Seq_ID	ID_sample	ID	Transect	Point	Compartment	Spartina	Depth	Location	Year	N	W	Crab.burrows	Snails.density	sed_Eh	sed_pH	Fetot	FeII	Ammonium	Phosphate	Nitrate	Sulfide	Salinity	Sulfate	FeIII	Sed_13C	Sed_Total_N	Sed_15N	SOC	Sed_org13C	BG_rate	NAG_rate	PHOS_rate	Plant.height	Plant.density	Leaf_temp	Leaf_N	Leaf_15N	Leaf_C	Leaf_13C	Leaf_CN_ratio	plant_biomass	plant_biomass_area	Observed	Shannon	Simpson	Counts
Sapelo2018_Rhizosphere_T4_P1_5-10	61	20	4	1	Rhizosphere	Tall	10-05	Sapelo	2018	31.38904	81.27569	180	4	18	7.1	226.3857538	114.9820354	190.3505034	2.880879953	5.476150742	52.221895	22.46032011	14.25840112	111.4037184	-19.9555	0.4	5.058	3.69	-20.2825	NA	NA	NA	84.4	124	NA	NA	NA	NA	NA	NA	5.545909194	687.69274	936	6.199142021	0.995919846	47829
Sapelo2018_Rhizosphere_T4_P1_0-5	62	19	4	1	Rhizosphere	Tall	0-5	Sapelo	2018	31.38904	81.27569	180	4	-29	6	40.34994327	15.34351001	95.46454863	3.083882805	2.01734755	60.83972549	20.44664642	14.59373829	25.00643326	-19.7025	0.41	5.033	3.72	-20.3415	NA	NA	NA	84.4	124	NA	NA	NA	NA	NA	NA	5.545909194	687.69274	1139	6.482398949	0.997220859	50002
Sapelo2018_Rhizosphere_T4_P2_5-10	63	22	4	2	Rhizosphere	Medium	10-05	Sapelo	2018	31.38957	81.27559	12	20	-295.5	6.8	14.35386173	7.061887999	166.7504896	60.62796813	4.562257104	996.0749394	35.49650198	10.26512458	7.291973727	-17.2675	0.41	2.729	7.01	-17.6715	NA	NA	NA	60.4	36	NA	NA	NA	NA	NA	NA	3.198621021	115.1503568	806	5.504478164	0.985861324	54359
Sapelo2018_Rhizosphere_T4_P2_0-5	64	21	4	2	Rhizosphere	Medium	0-5	Sapelo	2018	31.38957	81.27559	12	20	-385.5	6.8	9.750292521	10.0813636	131.7156755	67.6326093	0.01	1601.801865	29.66677517	8.56643093	0.01	-17.4285	0.39	2.94	6.11	-17.7945	NA	NA	NA	60.4	36	NA	NA	NA	NA	NA	NA	3.198621021	115.1503568	1030	6.135587119	0.993980195	50327
Sapelo2018_Rhizosphere_T4_P3_5-10	65	24	4	3	Rhizosphere	Short	10-05	Sapelo	2018	31.39001	81.2758	36	304	-271.5	6.5	42.02515352	25.02751196	136.9291895	80.89179806	0.530630628	251.4436301	43.63251132	33.48393519	16.99764157	-19.9705	0.09	3.134	0.7	-21.2965	NA	NA	NA	20.25	80	NA	NA	NA	NA	NA	NA	0.375401137	30.03209097	1093	6.189179277	0.995063149	55917
Sapelo2018_Rhizosphere_T4_P3_0-5	66	23	4	3	Rhizosphere	Short	0-5	Sapelo	2018	31.39001	81.2758	36	304	-347.5	6.6	6.633007181	7.27016037	173.8930038	123.0917723	0.01	232.5216587	46.08613789	30.12034146	0.01	-20.2495	0.12	3.304	1.48	-21.0035	NA	NA	NA	20.25	80	NA	NA	NA	NA	NA	NA	0.375401137	30.03209097	1089	6.381403305	0.996439855	48691
Sapelo2019_Bulk_sediment_T1_P1_5-10	67	2	1	1	Bulk sediment	Tall	10-05	Sapelo	2019	31.38894	81.27755	240	12	-140.7	6.6	571.6383088	541.6769414	98.12697785	0.01	2.339735018	34.99041897	44.03292696	24.76011731	29.96136735	-21.0365	0.24	5.183	2.58	-21.5545	18.7358	5.8521	71.6254	95.4	68	24.15	1.535	7.35	45.845	-13.6	30.48801488	6.948133809	472.4730992	1109	6.406385912	0.996352799	43864
Sapelo2019_Bulk_sediment_T1_P1_0-5	68	1	1	1	Bulk sediment	Tall	0-5	Sapelo	2019	31.38894	81.27755	240	12	-114	6.7	355.8911947	323.4693535	107.8942396	0.01	2.760727683	1.808346472	42.24436642	24.74843552	32.42184114	-20.2595	0.31	5.277	3.29	-21.0175	18.7358	5.8521	71.6254	95.4	68	24.15	1.535	7.35	45.845	-13.6	30.48801488	6.948133809	472.4730992	1214	6.569645028	0.997529616	50262
Sapelo2019_Bulk_sediment_T1_P2_5-10	69	4	1	2	Bulk sediment	Medium	10-05	Sapelo	2019	31.38913	81.2776	60	36	-385	6.6	21.27400925	26.6654213	244.0715326	56.46862936	0.01	1588.534066	37.14546908	9.32978915	0.01	-15.7525	0.73	2.702	15.98	-15.8155	18.2165	6.1389	68.9428	59.9	100	26.3	1.285	6.645	44.39	-13.77	34.92700174	3.334676557	333.4676557	1015	6.187728014	0.995709948	52131
Sapelo2019_Bulk_sediment_T1_P2_0-5	70	3	1	2	Bulk sediment	Medium	0-5	Sapelo	2019	31.38913	81.2776	60	36	-289	7.4	24.56628178	17.16644433	181.4172339	70.21938371	1.029806167	510.4470744	45.98808259	20.9847806	7.399837448	-16.6665	0.83	5.816	7.58	-17.3225	18.2165	6.1389	68.9428	59.9	100	26.3	1.285	6.645	44.39	-13.77	34.92700174	3.334676557	333.4676557	1057	6.31378034	0.996652475	49772
Sapelo2019_Bulk_sediment_T1_P3_5-10	71	6	1	3	Bulk sediment	Short	10-05	Sapelo	2019	31.38943	81.27757	8	60	-397.5	7.1	0.232621687	1.043855496	98.50019102	140.6686395	0.01	1284.990335	41.15723686	9.307005393	0.01	-18.4485	0.32	3.757	4.23	-18.7005	NA	NA	NA	45	172	26.05	1.56	5.69	45.005	-13.795	28.92605921	2.021893621	347.7657028	994	6.137671538	0.995538438	51806
Sapelo2019_Bulk_sediment_T1_P3_0-5	72	5	1	3	Bulk sediment	Short	0-5	Sapelo	2019	31.38943	81.27757	8	60	-377	6.6	2.710937542	0.621998055	94.6133124	163.162241	0.01	1440.14984	47.58159378	12.56685412	2.088939487	-19.0275	0.3	3.905	4.52	-19.4975	NA	NA	NA	45	172	26.05	1.56	5.69	45.005	-13.795	28.92605921	2.021893621	347.7657028	1076	6.309663443	0.996276196	50016
Sapelo2019_Bulk_sediment_T1_P4_5-10	73	26	1	4	Bulk sediment	Short	10-05	Sapelo	2019	31.38983	81.27757	0	204	-326	6.7	41.09243702	33.25209055	80.43121197	155.3429722	0.01	105.4421294	41.16027798	22.89419698	7.840346472	-18.2725	0.33	3.872	5.24	-18.6705	13.8539	2.532	76.8323	21	264	27.525	1.54	6.105	45.545	-13.465	29.65746805	0.437036236	115.3775663	1107	6.08156579	0.987665792	54227
Sapelo2019_Bulk_sediment_T1_P4_0-5	74	25	1	4	Bulk sediment	Short	0-5	Sapelo	2019	31.38983	81.27757	0	204	-276.5	6.5	698.0729128	703.5470725	117.5522682	0.01	0.439399167	91.006864	33.28671187	28.07935439	0.01	-20.0485	0.38	4.129	5.06	-20.5635	13.8539	2.532	76.8323	21	264	27.525	1.54	6.105	45.545	-13.465	29.65746805	0.437036236	115.3775663	1045	6.32140165	0.996440357	48815
Sapelo2019_Bulk_sediment_T3_P1_5-10	75	14	3	1	Bulk sediment	Tall	10-05	Sapelo	2019	31.38892	81.27632	240	0	-109.5	6	83.61661153	38.20988304	102.3415558	0.01	0.345497458	10.15145954	24.58458637	15.26054278	45.40672849	-19.5685	0.19	4.922	1.87	-21.0375	16.1312	7.6942	52.4393	66.1	72	29.275	1.095	7.25	45.535	-13.565	43.56925866	3.729582183	268.5299172	987	6.385529075	0.996726502	41033
Sapelo2019_Bulk_sediment_T3_P1_0-5	76	13	3	1	Bulk sediment	Tall	0-5	Sapelo	2019	31.38892	81.27632	240	0	-48.5	6.6	31.55578042	11.06780752	85.70171014	0.01	0.209339979	42.65040465	26.30724662	14.49134702	20.48797289	-20.1695	0.31	4.935	3.38	-21.6115	16.1312	7.6942	52.4393	66.1	72	29.275	1.095	7.25	45.535	-13.565	43.56925866	3.729582183	268.5299172	1177	6.616239124	0.99763876	46089
Sapelo2019_Bulk_sediment_T3_P2_5-10	77	16	3	2	Bulk sediment	Medium	10-05	Sapelo	2019	31.38914	81.27642	220	16	-63	6	301.1779177	247.3184744	71.26473242	0.01	1.145618276	0.01	22.61210141	13.06614388	53.85944327	-20.0475	0.36	4.363	4.33	-20.4565	15.693	5.5433	39.2885	59	76	30.175	1.23	7.215	45.7	-13.61	37.19359077	3.079225218	234.0211166	1102	6.51232267	0.997179423	45827
Sapelo2019_Bulk_sediment_T3_P2_0-5	78	15	3	2	Bulk sediment	Medium	0-5	Sapelo	2019	31.38914	81.27642	220	16	-68	6.9	137.1474241	122.1291688	55.48964894	0.01	0.01	36.09910111	23.55404819	13.60722342	15.01825529	-19.9415	0.37	4.661	4.72	-20.3825	15.693	5.5433	39.2885	59	76	30.175	1.23	7.215	45.7	-13.61	37.19359077	3.079225218	234.0211166	1103	6.470777291	0.997076648	46042
Sapelo2019_Bulk_sediment_T3_P3_5-10	79	18	3	3	Bulk sediment	Short	10-05	Sapelo	2019	31.38957	81.27657	12	116	-388.5	6.6	15.13896264	0.178833781	410.3880647	129.4015254	0.01	1423.015661	27.63239064	8.947182106	14.96012886	-17.5585	0.36	2.94	6.23	-17.9575	6.2892	1.4234	25.229	32	204	34.75	1.235	5.205	45.615	-13.835	36.9620149	1.146368929	233.8592615	924	5.974440993	0.993984612	51983
Sapelo2019_Bulk_sediment_T3_P3_0-5	80	17	3	3	Bulk sediment	Short	0-5	Sapelo	2019	31.38957	81.27657	12	116	-371	6.9	14.63682021	0.01	242.4694468	98.31674941	0.01	653.9822155	28.43964257	15.9448938	16.425989	-17.1655	0.38	3.493	7.36	-17.5815	6.2892	1.4234	25.229	32	204	34.75	1.235	5.205	45.615	-13.835	36.9620149	1.146368929	233.8592615	1081	6.192939013	0.994505664	51506
Sapelo2019_Bulk_sediment_T4_P1_5-10	81	20	4	1	Bulk sediment	Tall	10-05	Sapelo	2019	31.38904	81.27569	220	4	42	6.4	14.26426293	1.678576782	61.21528513	0.01	2.576445578	18.76334403	25.43039518	13.62501645	12.58568615	-19.7025	0.41	5.033	3.72	-20.3415	18.8298	10.1706	62.2038	82.5	80	28.275	1.42	7.695	45.695	-13.48	32.16453539	5.375219361	430.0175488	1057	6.493271637	0.997253821	43069
Sapelo2019_Bulk_sediment_T4_P1_0-5	82	19	4	1	Bulk sediment	Tall	0-5	Sapelo	2019	31.38904	81.27569	220	4	86	6.9	48.53548366	6.245473846	53.04100644	0.01	1.262212899	13.55589762	29.29156467	18.84981155	42.29000981	-19.9555	0.4	5.058	3.69	-20.2825	18.8298	10.1706	62.2038	82.5	80	28.275	1.42	7.695	45.695	-13.48	32.16453539	5.375219361	430.0175488	1112	6.536297902	0.99725765	43257
Sapelo2019_Bulk_sediment_T4_P2_5-10	83	22	4	2	Bulk sediment	Medium	10-05	Sapelo	2019	31.38957	81.27559	36	0	-395.5	6.5	9.141600253	9.395858769	161.8736077	72.51343314	0.01	568.5688956	25.69149088	8.498591927	0.01	-17.4285	0.39	2.94	6.11	-17.7945	4.8474	1.2989	21.9002	53.8	96	28.2	1.02	5.705	45.885	-14.105	44.87617008	2.776292111	266.5240426	1100	6.4986083	0.997495178	46025
Sapelo2019_Bulk_sediment_T4_P2_0-5	84	21	4	2	Bulk sediment	Medium	0-5	Sapelo	2019	31.38957	81.27559	36	0	-297.5	6.6	25.07247374	6.330619384	65.65743212	0.01	0.29346026	46.03244512	29.01855311	16.66794341	18.74185436	-17.2675	0.41	2.729	7.01	-17.6715	4.8474	1.2989	21.9002	53.8	96	28.2	1.02	5.705	45.885	-14.105	44.87617008	2.776292111	266.5240426	1023	6.3665234	0.997068934	51485
Sapelo2019_Bulk_sediment_T4_P3_5-10	85	24	4	3	Bulk sediment	Short	10-05	Sapelo	2019	31.39001	81.2758	0	180	-361	6.3	3.83670847	2.251374041	107.7303899	85.28373189	0.01	424.8321759	26.77692098	12.41836188	1.585334429	-20.2495	0.12	3.304	1.48	-21.0035	5.9198	2.2415	11.2189	31.7	136	29.05	1.36	4.635	45.285	-14.25	33.51790732	1.008474204	137.1524917	936	6.074782756	0.994244514	50752
Sapelo2019_Bulk_sediment_T4_P3_0-5	86	23	4	3	Bulk sediment	Short	0-5	Sapelo	2019	31.39001	81.2758	0	180	-334	6.9	6.740225576	0.01	144.3598971	66.52777879	0.01	480.9718078	28.94906786	14.9898791	8.978343563	-19.9705	0.09	3.134	0.7	-21.2965	5.9198	2.2415	11.2189	31.7	136	29.05	1.36	4.635	45.285	-14.25	33.51790732	1.008474204	137.1524917	904	6.138320631	0.996103467	48330
Sapelo2019_Endosphere_T1_P1_5-10	87	2	1	1	Root	Tall	10-05	Sapelo	2019	31.38894	81.27755	240	12	-140.7	6.6	571.6383088	541.6769414	98.12697785	0.01	2.339735018	34.99041897	44.03292696	24.76011731	29.96136735	-21.0365	0.24	5.183	2.58	-21.5545	18.7358	5.8521	71.6254	95.4	68	24.15	1.535	7.35	45.845	-13.6	30.48801488	6.948133809	472.4730992	910	5.968942708	0.992764264	42368
Sapelo2019_Endosphere_T1_P1_0-5	88	1	1	1	Root	Tall	0-5	Sapelo	2019	31.38894	81.27755	240	12	-114	6.7	355.8911947	323.4693535	107.8942396	0.01	2.760727683	1.808346472	42.24436642	24.74843552	32.42184114	-20.2595	0.31	5.277	3.29	-21.0175	18.7358	5.8521	71.6254	95.4	68	24.15	1.535	7.35	45.845	-13.6	30.48801488	6.948133809	472.4730992	815	5.167257156	0.971389326	66069
